gene	effect	mechanism	uniprot_id
ACVRL1	LOF	HI	P37023
AKT3	GOF	GOF	Q9Y243
APC	LOF	HI	P25054
ARID1A	LOF	HI	O14497
ATL1	DN	DN	Q8WXF7
ATP1A2	GOF	GOF	P50993
ATP1A3	GOF	GOF	P13637
ATP2A2	GOF	GOF	P16615
BMPR2	DN	DN	Q13873
BRAF	GOF	GOF	P15056
C1R	GOF	GOF	P00736
CACNA1A	GOF	GOF	O00555
CACNA1C	GOF	GOF	Q13936
CACNA1G	GOF	GOF	O43497
CALM3	DN	DN	P0DP25
CDC42	GOF	GOF	P60953
CDK19	DN	DN	Q9BWU1
CHN1	GOF	GOF	P15882
COL1A1	LOF	HI	P02452
CREBBP	LOF	HI	Q92793
CYFIP2	GOF	GOF	Q96F07
DICER1	LOF	HI	Q9UPY3
DNAJB6	DN	DN	O75190
DNM1	DN	DN	Q05193
DNMT3A	GOF	GOF	Q9Y6K1
EFTUD2	LOF	HI	Q15029
EHMT1	LOF	HI	Q9H9B1
ELANE	DN	DN	P08246
ENG	LOF	HI	P17813
EP300	LOF	HI	Q09472
ETV6	DN	DN	P41212
EYA1	LOF	HI	Q99502
FAS	DN	DN	P25445
FBN1	LOF	HI	P35555
FGF10	LOF	HI	O15520
FGFR1	GOF	GOF	P11362
FGFR2	GOF	GOF	P21802
FOXC1	LOF	HI	Q12948
FOXG1	LOF	HI	P55316
FOXP1	DN	DN	Q9H334
FZD4	LOF	HI	Q9ULV1
GABBR2	DN	DN	O75899
GABRA1	DN	DN	P14867
GATA3	LOF	HI	P23771
GLUD1	GOF	GOF	P00367
GNA11	GOF	GOF	P29992
GNAO1	GOF	GOF	P09471
GRIN2A	DN	DN	Q12879
GRIN2B	GOF	GOF	Q13224
GUCA1A	GOF	GOF	P43080
HMBS	LOF	HI	P08397
HNF1B	LOF	HI	P35680
HRAS	GOF	GOF	P01112
IFIH1	GOF	GOF	Q9BYX4
JAG1	LOF	HI	P78504
KCNA1	DN	DN	Q09470
KCNH1	GOF	GOF	O95259
KCNH2	DN	DN	Q12809
KCNJ5	DN	DN	P48544
KCNQ2	DN	DN	O43526
KCNQ4	DN	DN	P56696
KIF5A	DN	DN	Q12840
KLF1	DN	DN	Q13351
KRAS	GOF	GOF	P01116
MAP2K1	GOF	GOF	Q02750
MAP2K2	GOF	GOF	P36507
MEF2C	LOF	HI	Q06413
MEN1	LOF	HI	O00255
MORC2	GOF	GOF	Q9Y6X9
MTOR	GOF	GOF	P42345
MYH9	DN	DN	P35579
MYOC	DN	DN	Q99972
MYT1L	LOF	HI	Q9UL68
NIPBL	LOF	HI	Q6KC79
NKX2-5	DN	DN	P52952
NLRP3	GOF	GOF	Q96P20
NOG	LOF	HI	Q13253
NR3C1	DN	DN	P04150
NR3C2	DN	DN	P08235
NR5A1	DN	DN	Q13285
NRAS	GOF	GOF	P01111
NSD1	LOF	HI	Q96L73
OTX2	DN	DN	P32243
PAFAH1B1	LOF	HI	P43034
PAX2	LOF	HI	Q02962
PAX6	LOF	HI	P26367
PAX8	DN	DN	Q06710
PCSK9	GOF	GOF	Q8NBP7
PDE4D	DN	DN	Q08499
PIK3CD	GOF	GOF	O00329
PKD1	LOF	HI	P98161
PKD2	LOF	HI	Q13563
PPP2CA	DN	DN	P67775
PPP2R1A	DN	DN	P30153
PPP2R5D	DN	DN	Q14738
PPP3CA	GOF	GOF	Q08209
PRNP	DN	DN	P04156
PRSS1	GOF	GOF	P07477
PSEN1	GOF	GOF	P49768
PTCH1	LOF	HI	Q13635
PTEN	LOF	HI	P60484
RAD51	DN	DN	Q06609
RET	LOF	HI	P07949
RIT1	GOF	GOF	Q92963
RPS19	LOF	HI	P39019
RYR2	GOF	GOF	Q92736
SATB2	LOF	HI	Q9UPW6
SCN1A	GOF	GOF	P35498
SCN2A	GOF	GOF	Q99250
SCN3A	GOF	GOF	Q9NY46
SFTPC	GOF	GOF	P11686
SHH	DN	DN	Q15465
SMAD3	LOF	HI	P84022
SMAD4	LOF	HI	Q13485
SMARCB1	LOF	HI	Q12824
SMCHD1	GOF	GOF	A6NHR9
SOS1	GOF	GOF	Q07889
SOX10	LOF	HI	P56693
SOX11	LOF	HI	P35716
SOX2	LOF	HI	P48431
SOX5	LOF	HI	P35711
SPAST	GOF	GOF	Q9UBP0
STK11	LOF	HI	Q15831
STXBP1	LOF	HI	P61764
SYNGAP1	LOF	HI	Q96PV0
SYT1	DN	DN	P21579
TBL1XR1	LOF	HI	Q9BZK7
TBX5	LOF	HI	Q99593
TCF4	LOF	HI	P15884
TNNT2	DN	DN	P45379
TPM2	GOF	GOF	P07951
TRIO	GOF	GOF	O75962
TRPM4	GOF	GOF	Q8TD43
TRPV3	GOF	GOF	Q8NET8
TRPV4	GOF	GOF	Q9HBA0
TSC2	LOF	HI	P49815
UBE3A	LOF	HI	Q05086
UMOD	DN	DN	P07911
VAMP2	DN	DN	P63027
ACVRL1	NA	gnomAD	P37023
AKT3	NA	gnomAD	Q9Y243
APC	NA	gnomAD	P25054
ARID1A	NA	gnomAD	O14497
ATL1	NA	gnomAD	Q8WXF7
ATP1A2	NA	gnomAD	P50993
ATP1A3	NA	gnomAD	P13637
ATP2A2	NA	gnomAD	P16615
BMPR2	NA	gnomAD	Q13873
BRAF	NA	gnomAD	P15056
C1R	NA	gnomAD	P00736
CACNA1A	NA	gnomAD	O00555
CACNA1C	NA	gnomAD	Q13936
CACNA1G	NA	gnomAD	O43497
CALM3	NA	gnomAD	P0DP25
CDC42	NA	gnomAD	P60953
CDK19	NA	gnomAD	Q9BWU1
CHN1	NA	gnomAD	P15882
COL1A1	NA	gnomAD	P02452
CREBBP	NA	gnomAD	Q92793
CYFIP2	NA	gnomAD	Q96F07
DICER1	NA	gnomAD	Q9UPY3
DNAJB6	NA	gnomAD	O75190
DNM1	NA	gnomAD	Q05193
DNMT3A	NA	gnomAD	Q9Y6K1
EFTUD2	NA	gnomAD	Q15029
EHMT1	NA	gnomAD	Q9H9B1
ELANE	NA	gnomAD	P08246
ENG	NA	gnomAD	P17813
EP300	NA	gnomAD	Q09472
ETV6	NA	gnomAD	P41212
EYA1	NA	gnomAD	Q99502
FAS	NA	gnomAD	P25445
FBN1	NA	gnomAD	P35555
FGF10	NA	gnomAD	O15520
FGFR1	NA	gnomAD	P11362
FGFR2	NA	gnomAD	P21802
FOXC1	NA	gnomAD	Q12948
FZD4	NA	gnomAD	Q9ULV1
GABBR2	NA	gnomAD	O75899
GABRA1	NA	gnomAD	P14867
GATA3	NA	gnomAD	P23771
GLUD1	NA	gnomAD	P00367
GNA11	NA	gnomAD	P29992
GNAO1	NA	gnomAD	P09471
GRIN2A	NA	gnomAD	Q12879
GRIN2B	NA	gnomAD	Q13224
GUCA1A	NA	gnomAD	P43080
HMBS	NA	gnomAD	P08397
HNF1B	NA	gnomAD	P35680
HRAS	NA	gnomAD	P01112
IFIH1	NA	gnomAD	Q9BYX4
JAG1	NA	gnomAD	P78504
KCNA1	NA	gnomAD	Q09470
KCNH1	NA	gnomAD	O95259
KCNH2	NA	gnomAD	Q12809
KCNJ5	NA	gnomAD	P48544
KCNQ2	NA	gnomAD	O43526
KCNQ4	NA	gnomAD	P56696
KIF5A	NA	gnomAD	Q12840
KLF1	NA	gnomAD	Q13351
KRAS	NA	gnomAD	P01116
MAP2K1	NA	gnomAD	Q02750
MAP2K2	NA	gnomAD	P36507
MEN1	NA	gnomAD	O00255
MORC2	NA	gnomAD	Q9Y6X9
MTOR	NA	gnomAD	P42345
MYH9	NA	gnomAD	P35579
MYOC	NA	gnomAD	Q99972
NIPBL	NA	gnomAD	Q6KC79
NKX2-5	NA	gnomAD	P52952
NLRP3	NA	gnomAD	Q96P20
NOG	NA	gnomAD	Q13253
NR3C1	NA	gnomAD	P04150
NR3C2	NA	gnomAD	P08235
NR5A1	NA	gnomAD	Q13285
NRAS	NA	gnomAD	P01111
NSD1	NA	gnomAD	Q96L73
PAFAH1B1	NA	gnomAD	P43034
PAX2	NA	gnomAD	Q02962
PAX6	NA	gnomAD	P26367
PAX8	NA	gnomAD	Q06710
PCSK9	NA	gnomAD	Q8NBP7
PDE4D	NA	gnomAD	Q08499
PIK3CD	NA	gnomAD	O00329
PKD1	NA	gnomAD	P98161
PKD2	NA	gnomAD	Q13563
PPP2CA	NA	gnomAD	P67775
PPP2R1A	NA	gnomAD	P30153
PPP2R5D	NA	gnomAD	Q14738
PPP3CA	NA	gnomAD	Q08209
PRNP	NA	gnomAD	P04156
PRSS1	NA	gnomAD	P07477
PSEN1	NA	gnomAD	P49768
PTCH1	NA	gnomAD	Q13635
PTEN	NA	gnomAD	P60484
RAD51	NA	gnomAD	Q06609
RET	NA	gnomAD	P07949
RIT1	NA	gnomAD	Q92963
RPS19	NA	gnomAD	P39019
RYR2	NA	gnomAD	Q92736
SATB2	NA	gnomAD	Q9UPW6
SCN1A	NA	gnomAD	P35498
SCN2A	NA	gnomAD	Q99250
SCN3A	NA	gnomAD	Q9NY46
SFTPC	NA	gnomAD	P11686
SHH	NA	gnomAD	Q15465
SMAD3	NA	gnomAD	P84022
SMAD4	NA	gnomAD	Q13485
SMARCB1	NA	gnomAD	Q12824
SMCHD1	NA	gnomAD	A6NHR9
SOS1	NA	gnomAD	Q07889
SPAST	NA	gnomAD	Q9UBP0
STK11	NA	gnomAD	Q15831
STXBP1	NA	gnomAD	P61764
SYNGAP1	NA	gnomAD	Q96PV0
SYT1	NA	gnomAD	P21579
TBL1XR1	NA	gnomAD	Q9BZK7
TBX5	NA	gnomAD	Q99593
TNNT2	NA	gnomAD	P45379
TPM2	NA	gnomAD	P07951
TRIO	NA	gnomAD	O75962
TRPM4	NA	gnomAD	Q8TD43
TRPV3	NA	gnomAD	Q8NET8
TRPV4	NA	gnomAD	Q9HBA0
TSC2	NA	gnomAD	P49815
UBE3A	NA	gnomAD	Q05086
UMOD	NA	gnomAD	P07911
VAMP2	NA	gnomAD	P63027
