Gene	Mechanism	Variants
AARS2	AR	3
ABAT	AR	9
ABCA1	AR	7
ABCB11	AR	25
ABCD4	AR	1
ABCG5	AR	3
ABCG8	AR	3
ACAD8	AR	5
ACADM	AR	39
ACADS	AR	16
ACADSB	AR	3
ACADVL	AR	47
ACAT1	AR	40
ACE	AR	5
ACER3	AR	1
ACO2	AR	12
ACP5	AR	5
ACVRL1	HI	96
ACY1	AR	1
ADA2	AR	15
ADAM22	AR	1
ADAMTS13	AR	13
ADCY5	GOF	3
ADGRG1	AR	1
ADK	AR	5
ADSL	AR	17
AGA	AR	13
AGPS	AR	4
AGRN	AR	2
AGT	AR	1
AGTR1	AR	1
AGXT	AR	85
AHCY	AR	4
AICDA	AR	11
AK1	AR	4
AK2	AR	5
AKR1C2	AR	4
AKR1D1	AR	3
AKT3	GOF	6
ALAD	AR	3
ALDH1A3	AR	8
ALDH3A2	AR	20
ALDH4A1	AR	1
ALDH5A1	AR	7
ALDH7A1	AR	25
ALDOB	AR	5
ALOXE3	AR	1
ALX3	AR	4
AMN	AR	4
AMT	AR	17
ANGPTL3	AR	1
ANK2	HI	2
ANO10	AR	4
ANTXR2	AR	5
AP1B1	AR	1
AP4M1	AR	2
APC	HI	7
APRT	AR	28
ARG1	AR	9
ARHGDIA	AR	1
ARID1A	HI	8
ARID1B	HI	1
ARL6	AR	11
ARPC1B	AR	2
ARSA	AR	62
ARSB	AR	49
ASAH1	AR	34
ASL	AR	27
ASNS	AR	21
ASPA	AR	20
ASPH	AR	1
ASS1	AR	30
ATG5	AR	1
ATIC	AR	2
ATL1	DN	35
ATL3	DN	2
ATM	AR	25
ATP1A2	GOF	33
ATP1A3	GOF	81
ATP2A1	AR	2
ATP2A2	GOF	17
ATP5F1A	AR	2
ATP5F1D	AR	2
ATP5F1E	AR	1
ATP6V1B1	AR	2
ATP6V1E1	AR	2
ATP7B	AR	28
ATP8A2	AR	1
AUH	AR	6
AURKC	AR	1
B3GAT3	AR	7
B4GALT7	AR	5
BAG3	HI	3
BANF1	AR	1
BBS2	AR	7
BBS4	AR	7
BBS5	AR	6
BBS7	AR	5
BBS9	AR	5
BCAT2	AR	1
BCKDHA	AR	26
BCKDHB	AR	33
BCL10	AR	1
BCL11A	HI	1
BCL11B	DN	1
BCS1L	AR	18
BIN1	AR	3
BLM	AR	3
BMP1	AR	2
BMPR1A	HI	5
BMPR2	DN	79
BOLA3	AR	1
BPGM	AR	3
BRAF	GOF	67
BRCA1	AR	105
C12ORF65	AR	1
C1QA	AR	1
C1QB	AR	1
C1QBP	AR	5
C1QC	AR	1
C1R	GOF	14
C1S	GOF	1
C3	AR	5
CA12	AR	2
CA2	AR	4
CA8	AR	2
CACNA1A	GOF	10
CACNA1C	GOF	8
CACNA1G	GOF	8
CAD	AR	2
CALM3	DN	23
CANT1	AR	12
CAPN1	AR	1
CAPN5	GOF	4
CARD9	AR	1
CASQ2	AR	8
CBLIF	AR	1
CBS	AR	50
CD19	AR	2
CD247	AR	3
CD27	AR	1
CD36	AR	4
CD40	AR	1
CD55	AR	2
CD59	AR	1
CD79B	AR	1
CD8A	AR	1
CDC42	GOF	13
CDH1	HI	6
CDH3	AR	2
CDK19	DN	7
CDK5RAP2	AR	1
CDK6	AR	1
