gene	pfam_family	is_singleton_family	pLI	pLI_missing	pLI_familyresid	pLI_familyresid_missing	LOEUF	LOEUF_missing	LOEUF_familyresid	LOEUF_familyresid_missing	mis_z	mis_z_missing	mis_z_familyresid	mis_z_familyresid_missing	paralog_count	paralog_count_missing	paralog_count_familyresid	paralog_count_familyresid_missing	tissue_specificity_tau	tissue_specificity_tau_missing	tissue_specificity_tau_familyresid	tissue_specificity_tau_familyresid_missing	log_abundance_ppm	log_abundance_ppm_missing	log_abundance_ppm_familyresid	log_abundance_ppm_familyresid_missing	PPI_degree	PPI_degree_missing	PPI_degree_familyresid	PPI_degree_familyresid_missing	HI_score	HI_score_missing	HI_score_familyresid	HI_score_familyresid_missing	TS_score	TS_score_missing	TS_score_familyresid	TS_score_familyresid_missing
AAAS	PF25460	1	8.9231e-16	0	0.0	0	0.921	0	0.0	0	0.88677	0	0.0	0	0	0	0.0	0	0.2	0	0.0	0	0.8998751960210107	0	0.0	0	7	0	0.0	0		1		1		1		1
AARS1	PF02272	1	4.04e-14	0	0.0	0	0.772	0	0.0	0	1.0453	0	0.0	0	2	0	0.0	0	0.2	0	0.0	0	1.8848010261608559	0	0.0	0		1		1	0	0	0.0	0	0	0	0.0	0
AARS2	PF01411	1	1.8233e-15	0	0.0	0	0.752	0	0.0	0	1.8985	0	0.0	0	2	0	0.0	0	0.2	0	0.0	0	0.6335694425540919	0	0.0	0	20	0	0.0	0		1		1		1		1
AASS	PF05222	1	4.5131e-21	0	0.0	0	0.948	0	0.0	0	1.5093	0	0.0	0	0	0	0.0	0	0.2	0	0.0	0	0.47871075551275927	0	0.0	0	4	0	0.0	0		1		1	0	0	0.0	0
ABAT	PF00202	0	1.1757e-10	0	-1.13906215e-07	0	0.871	0	-0.04849999999999999	0	0.75346	0	-0.4548700000000001	0	4	0	0.0	0	0.6	0	0.0	0	1.2175102642940272	0	-0.1906455908694593	0	9	0	0.0	0		1		1		1		1
ABCA1	PF12698	0	2.3118e-12	0	1.5411839526666667e-12	0	0.563	0	-0.08066666666666678	0	3.076	0	0.6150333333333333	0	11	0	0.0	0	0.2	0	-0.3	0	-1.0705810742857071	0	0.0466127378499559	0		1		1		1		1		1		1
ABCA12	PF12698	0	4.8142e-17	0	-7.705679053333333e-13	0	0.582	0	-0.06166666666666676	0	2.9254	0	0.46443333333333303	0	11	0	0.0	0	0.6	0	0.09999999999999998	0	-1.1135092748275182	0	0.0036845373081448862	0		1		1		1		1		1		1
ABCA4	PF12698	0	3.4822e-43	0	-7.706160473333333e-13	0	0.786	0	0.1423333333333333	0	1.3815	0	-1.0794666666666668	0	11	0	0.0	0	0.7	0	0.19999999999999996	0	-1.1674910872937636	0	-0.05029727515810056	0		1		1		1		1		1		1
ABCB11	PF00664	0	9.5597e-15	0	-1.8186249928302251e-06	0	0.739	0	-0.10225000000000006	0	1.2052	0	-0.8446749999999996	0	10	0	-0.75	0	0.8	0	0.2500000000000001	0	-1.2924298239020635	0	0.13136356134216665	0		1		1		1		1	0	0	0.0	0
ABCC6	PF00664	0	1.2351e-33	0	-1.8186250023899252e-06	0	0.917	0	0.07574999999999998	0	1.031	0	-1.0188749999999998	0	11	0	0.25	0	0.6	0	0.050000000000000044	0	-0.9393021596463883	0	0.48449122559784186	0		1		1		1		1		1		1
