gene	label	family	pLI	LOEUF	mis_z	paralog_count
AAAS	LOF	PF25460	8.9231e-16	0.921	0.88677	0
AARS1	LOF	PF02272	4.04e-14	0.772	1.0453	2
AASS	LOF	PF05222	4.5131e-21	0.948	1.5093	0
ABCA12	LOF	PF12698	4.8142e-17	0.582	2.9254	11
ABCA4	LOF	PF12698	3.4822e-43	0.786	1.3815	11
ABCC6	LOF	PF00664	1.2351e-33	0.917	1.031	11
ABCC9	GOF	PF00664	7.2745e-06	0.557	7.0369	11
ABCD1	LOF	PF06472				3
ABHD12	LOF	PF00561	7.5081e-10	0.967	-0.50211	7
ABHD16A	LOF	PF22990	4.0184e-07	0.686	1.9771	7
ABHD5	LOF	PF00561	3.4236e-07	0.922	0.70878	12
ABL1	GOF	PF08919	1.0	0.19	4.2885	32
ACAD9	LOF	PF21343	1.1413e-12	0.884	0.86095	14
ACAN	LOF	PF00059	1.0	0.377	0.32052	7
ACOX1	LOF	PF01756	1.7103e-05	0.67	3.067	14
ACTB	GOF	PF00022	1.0	0.193	7.6921	26
ACTG1	GOF	PF00022	0.45871	0.617	4.8895	26
ACTL6B	LOF	PF00022	9.6229e-13	0.954	3.3742	26
ACVR1	GOF	PF01064	2.4131e-08	0.835	2.9548	11
ACVRL1	LOF	PF07714	0.51066	0.57	3.1905	11
ADA	LOF	PF00962	9.64e-15	1.184	0.4697	2
ADAMTS10	LOF	PF17771	0.99647	0.467	3.8057	25
ADAMTS17	LOF	PF23178	2.2942e-31	0.966	-1.5379	25
ADAMTS18	LOF	PF17771	1.0763e-48	1.055	-4.093	25
ADAMTSL2	LOF	PF19236	2.271e-08	0.679	1.0796	25
ADAMTSL4	LOF	PF19236	1.1088e-25	0.92	0.93574	25
ADAR	LOF	PF02137	0.99972	0.449	3.4201	14
ADCY5	GOF	PF16214	1.0	0.326	4.4785	17
ADGRV1	LOF	PF00002	6.4034e-36	0.637	2.3256	7
ADNP	LOF	PF19627	1.0	0.106	2.5832	1
ADPRS	LOF	PF03747	3.3734e-08	1.155	-0.29451	0
AFF4	GOF	PF05110	1.0	0.114	3.6501	3
AFG2A	LOF	PF00004				5
AFG3L2	LOF	PF00004	1.0227e-08	0.724	3.0743	2
AGBL5	LOF	PF18027	1.6548e-08	0.709	1.9344	5
AGK	LOF	PF19712	7.3523e-06	0.918	1.0683	4
AGL	LOF	PF06202	1.033e-22	0.72	0.87709	0
AGPAT2	LOF	PF01553	7.177e-06	1.199	-0.8571	1
AGTPBP1	LOF	PF18027	0.0066485	0.556	2.5632	5
AHI1	LOF	PF00018	2.6598e-30	1.069	-0.22863	26
AIMP1	LOF	PF01588	6.2809e-05	0.931	0.27475	0
AIPL1	LOF	PF23322	7.0113e-07	1.01	0.42085	1
AIRE	LOF	PF03172	2.864e-16	1.169	-1.0396	5
AKT1	GOF	PF00169	0.99545	0.474	4.2239	5
AKT3	GOF	PF00169	0.99015	0.482	4.235	5
ALDH18A1	DN	PF00696	0.00013089	0.617	3.0998	0
ALG1	LOF	PF00534	1.6267e-25	1.419	-2.6689	1
ALG11	LOF	PF15924	1.5591e-06	0.908	1.1209	3
ALG12	LOF	PF03901	1.4977e-09	0.965	0.93748	2
ALG2	LOF	PF13439	5.5991e-12	1.408	-0.93806	3
ALG3	LOF	PF05208	1.7952e-10	0.972	0.75767	0
ALG6	LOF	PF03155	2.2406e-05	0.892	1.3207	1
ALG8	LOF	PF03155	1.8738e-10	0.909	0.42414	1
ALG9	LOF	PF03901	1.3976e-12	0.853	1.7414	2
ALK	GOF	PF12810	3.8217e-06	0.562	0.95723	53
