gene	pDN	pGOF	pLOF	pDN_missing	pGOF_missing	pLOF_missing	pfam_family	is_singleton_family_badonyi	pDN_familyresid	pGOF_familyresid	pLOF_familyresid	pDN_familyresid_missing	pGOF_familyresid_missing	pLOF_familyresid_missing
AAAS	0.529432	0.382909	0.486358	0.0	0.0	0.0	PF25460	1	0.0	0.0	0.0	1.0	1.0	1.0
AARS1	0.655159	0.620888	0.326464	0.0	0.0	0.0	PF02272	1	0.0	0.0	0.0	1.0	1.0	1.0
AARS2	0.679077	0.638779	0.258854	0.0	0.0	0.0	PF01411	1	0.0	0.0	0.0	1.0	1.0	1.0
AASS	0.63896	0.474194	0.32225	0.0	0.0	0.0	PF05222	1	0.0	0.0	0.0	1.0	1.0	1.0
ABAT	0.747812	0.568427	0.303512	0.0	0.0	0.0	PF00202	0	0.010122999999999993	-0.037031000000000036	-0.009988500000000011	0.0	0.0	0.0
ABCA1	0.736565	0.739441	0.221686	0.0	0.0	0.0	PF12698	0	0.038139000000000034	0.02116366666666669	-0.031441666666666646	0.0	0.0	0.0
ABCA12	0.737467	0.703793	0.238388	0.0	0.0	0.0	PF12698	0	0.03904099999999999	-0.014484333333333321	-0.014739666666666651	0.0	0.0	0.0
ABCA4	0.621246	0.711598	0.299309	0.0	0.0	0.0	PF12698	0	-0.07718000000000003	-0.00667933333333337	0.04618133333333335	0.0	0.0	0.0
ABCB11	0.828427	0.811301	0.189918	0.0	0.0	0.0	PF00664	0	0.06360324999999989	0.033455750000000006	-0.07733525	0.0	0.0	0.0
ABCC6	0.724171	0.734403	0.2838	0.0	0.0	0.0	PF00664	0	-0.040652750000000126	-0.043442250000000016	0.01654675	0.0	0.0	0.0
ABCC9	0.750738	0.78185	0.236201	0.0	0.0	0.0	PF00664	0	-0.014085750000000119	0.004004750000000001	-0.031052250000000003	0.0	0.0	0.0
ABCD1	0.46428	0.56964	0.605104	0.0	0.0	0.0	PF06472	0	-0.1661935	-0.09622799999999998	0.201492	0.0	0.0	0.0
ABCD4	0.796667	0.762096	0.20212	0.0	0.0	0.0	PF06472	0	0.1661935	0.09622799999999998	-0.20149199999999998	0.0	0.0	0.0
