gene	uniprot_id	ec_numbers	keyword_ids	enzyme_4class	multi_class_flag	uniprot_missing_flag
AAAS	Q9NRG9		KW-0002;KW-0007;KW-0025;KW-0963;KW-0206;KW-0225;KW-0509;KW-0906;KW-0539;KW-0597	non-enzyme	0	0
AARS1	P49588	6.1.1.7;6.-.-.-;6;.;1;7	KW-0002;KW-0007;KW-0025;KW-0030;KW-0067;KW-0144;KW-0963;KW-0903;KW-0225;KW-0887	non-enzyme	0	0
AARS2	Q5JTZ9	6.1.1.7;6.-.-.-;6;.;1;7	KW-0002;KW-0030;KW-0067;KW-0122;KW-0225;KW-0436;KW-0479;KW-0496;KW-0523;KW-0547	non-enzyme	0	0
AASS	Q9UDR5	1;.;5;8;9	KW-0002;KW-0007;KW-0496;KW-0511;KW-0520;KW-0521;KW-0560;KW-1267;KW-1185;KW-0809	non-enzyme	0	0
ABAT	P80404	2.6.1.19;2.6.1.22;2;.;6;1;9	KW-0007;KW-0032;KW-0903;KW-0225;KW-1015;KW-0408;KW-0411;KW-0479;KW-0496;KW-0531	non-enzyme	0	0
ABCA1	O95477	7.6.2.1;7;.;6;2;1	KW-0002;KW-0065;KW-0067;KW-1003;KW-0153;KW-0225;KW-1015;KW-0967;KW-0325;KW-0443	non-enzyme	0	0
ABCA12	Q86UK0	7.6.2.1;7;.;6;2;1	KW-0025;KW-0067;KW-0968;KW-0225;KW-0325;KW-0333;KW-0977;KW-0445;KW-0472;KW-0547	non-enzyme	0	0
ABCA4	P78363	7.6.2.1;7;.;6;2;1	KW-0002;KW-0913;KW-0067;KW-0966;KW-0182;KW-0968;KW-0225;KW-1015;KW-0256;KW-0325	non-enzyme	0	0
ABCB11	O95342	7.6.2.-	KW-0002;KW-0067;KW-1003;KW-0225;KW-0967;KW-0325;KW-0988;KW-0445;KW-0472;KW-0547	non-enzyme	0	0
ABCC6	O95255	7.6.2.-;7.6.2.3;7;.;6;2;3	KW-0002;KW-0025;KW-0067;KW-1003;KW-0225;KW-0256;KW-0325;KW-0472;KW-0547;KW-0597	non-enzyme	0	0
ABCC9	O60706		KW-0025;KW-0067;KW-1020;KW-0122;KW-0225;KW-0325;KW-0991;KW-0472;KW-0547;KW-1267	non-enzyme	0	0
