gene	mechanism	mechanism_3class	P_GOF_lr_full	P_DN_lr_full	P_LOF_lr_full	pred_class_lr_full
AAAS	LOF	LOF	0.19203171667014324	0.2247981882224276	0.5831700951074293	LOF
AARS1	LOF	LOF	0.26791461517863013	0.317992443166432	0.4140929416549379	LOF
AARS2	AR					
AASS	LOF	LOF	0.06804986030263409	0.1220112561162295	0.8099388835811363	LOF
ABAT	AR					
ABCA1	AR					
ABCA12	LOF	LOF	0.34267156135475463	0.27824689618768594	0.37908154245755954	LOF
ABCA4	LOF	LOF	0.3409470951903563	0.2564981296450837	0.4025547751645599	LOF
ABCB11	AR					
ABCC6	LOF	LOF	0.309670352946835	0.3033464762858954	0.3869831707672697	LOF
ABCC9	GOF	GOF	0.41892188343440095	0.1809532050224481	0.40012491154315094	GOF
ABCD1	LOF	LOF	0.15735030583699972	0.020405534471553365	0.8222441596914469	LOF
ABCD4	AR					
ABCG5	AR					
ABCG8	AR					
ABHD12	LOF	LOF	0.22842469232268311	0.3033811182589899	0.468194189418327	LOF
ABHD16A	LOF	LOF	0.19751559003766117	0.2576283125503544	0.5448560974119844	LOF
ABHD5	LOF	LOF	0.23965810113048303	0.3298677720744094	0.43047412679510755	LOF
ABL1	GOF	GOF	0.47700422028453743	0.38980545508284803	0.13319032463261454	GOF
ACAD8	AR					
ACAD9	LOF	LOF	0.16344575184403942	0.37332472011178536	0.4632295280441752	LOF
ACADM	AR					
ACADS	AR					
ACADSB	AR					
ACADVL	AR					
ACAN	LOF	LOF	0.17789274524497345	0.5292056512659628	0.29290160348906374	DN
ACAT1	AR					
ACBD5	LOF	LOF	0.07294734962199395	0.0698326180528633	0.8572200323251429	LOF
ACBD6	LOF	LOF	0.057528042167950696	0.0711098283068737	0.8713621295251757	LOF
ACE	AR					
ACER3	AR					
ACO2	AR					
ACOX1	LOF	LOF	0.22152091760374618	0.3854791884177993	0.39299989397845453	LOF
ACP5	AR					
ACSL4	LOF	LOF	0.019785711424886606	0.0006269086647294735	0.979587379910384	LOF
ACTB	GOF	GOF	0.5073740345573148	0.4851716351850304	0.007454330257654795	GOF
ACTG1	GOF	GOF	0.4373683422561006	0.5126168826637633	0.05001477508013616	DN
ACTL6B	LOF	LOF	0.5672310960296357	0.2536533772429485	0.17911552672741576	GOF
ACVR1	GOF	GOF	0.3821369959733052	0.11865642033327858	0.4992065836934162	LOF
ACVRL1	HI	LOF	0.3728273352801512	0.23745258551651688	0.3897200792033319	LOF
ACY1	AR					
ADA	LOF	LOF	0.2916234638116884	0.365453961199537	0.3429225749887746	DN
ADA2	AR					
ADAM22	AR					
ADAM9	LOF	LOF	0.028097271515072172	0.016289753709967245	0.9556129747749605	LOF
ADAMTS10	LOF	LOF	0.33081827660990615	0.5248915791589619	0.14429014423113193	DN
ADAMTS13	AR					
ADAMTS17	LOF	LOF	0.053106256140041865	0.22165752987538254	0.7252362139845756	LOF
ADAMTS18	LOF	LOF	0.12825665135292202	0.14936048707108357	0.7223828615759945	LOF
ADAMTS19	LOF	LOF	0.08666832645030972	0.07556387742618333	0.8377677961235069	LOF
ADAMTS2	LOF	LOF	0.019933680674093922	0.011247567251928893	0.9688187520739773	LOF
ADAMTSL2	LOF	LOF	0.08356215355856407	0.4173177637216348	0.49912008271980124	LOF
ADAMTSL4	LOF	LOF	0.20207639307453834	0.329389643930833	0.4685339629946286	LOF
ADAR	LOF	LOF	0.42780532044979475	0.42900971614802696	0.14318496340217823	DN
ADCY5	GOF	GOF	0.46134536819124994	0.4784123413288976	0.06024229047985244	DN
ADGRG1	AR					
ADGRG6	LOF	LOF	0.01982792763586624	0.07461259807385076	0.9055594742902829	LOF
ADGRV1	LOF	LOF	0.2813389004318214	0.21215617502268241	0.5065049245454961	LOF
ADK	AR					
ADNP	LOF	LOF	0.1474755842635561	0.3153867825287955	0.5371376332076485	LOF
ADPRS	LOF	LOF	0.001998938658174073	0.005151746126037951	0.992849315215788	LOF
ADSL	AR					
AFF4	GOF	GOF	0.37473607605480613	0.38928831933338515	0.23597560461180875	DN
AFG2A	LOF	LOF	0.0021598382516965177	0.0008007017549047584	0.9970394599933987	LOF
AFG3L2	LOF	LOF	0.29002339660481524	0.293614849801423	0.4163617535937618	LOF
AGA	AR					
AGBL5	LOF	LOF	0.4388514248958644	0.21322919996335996	0.34791937514077564	GOF
AGK	LOF	LOF	0.05289571321026349	0.16512836178473866	0.7819759250049979	LOF
AGL	LOF	LOF	0.1885809136964433	0.40841228188079537	0.40300680442276143	DN
AGPAT2	LOF	LOF	0.0948028975562947	0.19494610141287635	0.7102510010308289	LOF
AGPS	AR					
AGRN	AR					
AGT	AR					
AGTPBP1	LOF	LOF	0.42286945144120835	0.25570137917394103	0.32142916938485067	GOF
AGTR1	AR					
AGXT	AR					
AHCY	AR					
AHDC1	LOF	LOF	0.07811344305357387	0.013642205112100764	0.9082443518343254	LOF
AHI1	LOF	LOF	0.15728687286446652	0.22230034654813277	0.6204127805874008	LOF
AICDA	AR					
AIMP1	LOF	LOF	0.04575525035287832	0.20007521684231658	0.754169532804805	LOF
AIP	LOF	LOF	0.06858289214374265	0.14067981735032115	0.7907372905059362	LOF
AIPL1	LOF	LOF	0.3309993759049439	0.321720156648321	0.3472804674467352	LOF
AIRE	LOF	LOF	0.21489162148278498	0.1638067197432121	0.6213016587740029	LOF
AK1	AR					
AK2	AR					
AKR1C2	AR					
AKR1D1	AR					
AKT1	GOF	GOF	0.6045579512431281	0.3394252277553475	0.05601682100152447	GOF
AKT3	GOF	GOF	0.31547981387756585	0.28974072677209683	0.3947794593503372	LOF
ALAD	AR					
ALDH18A1	DN	DN	0.41935252090295033	0.31555985872629605	0.26508762037075373	GOF
ALDH1A3	AR					
ALDH3A2	AR					
ALDH4A1	AR					
ALDH5A1	AR					
ALDH7A1	AR					
ALDOB	AR					
ALG1	LOF	LOF	0.04840555131457333	0.2945369484120782	0.6570575002733484	LOF
ALG11	LOF	LOF	0.160306119351603	0.15061048490484205	0.6890833957435549	LOF
ALG12	LOF	LOF	0.17053200358105877	0.07560294102879773	0.7538650553901434	LOF
ALG2	LOF	LOF	0.12168965525220106	0.16956018676617562	0.7087501579816233	LOF
ALG3	LOF	LOF	0.21891789338656403	0.16856964304001507	0.6125124635734208	LOF
ALG6	LOF	LOF	0.264969651289359	0.1377259851471654	0.5973043635634757	LOF
ALG8	LOF	LOF	0.26234910399841915	0.1270309023809483	0.6106199936206326	LOF
ALG9	LOF	LOF	0.34351624330314096	0.06981058783271933	0.5866731688641398	LOF
ALK	GOF	GOF	0.5806646818687216	0.26579665366859817	0.15353866446268027	GOF
ALMS1	LOF	LOF	0.02857032857067552	0.2052496264512053	0.7661800449781191	LOF
ALOX12B	LOF	LOF	0.42195390368397784	0.3796989636461492	0.19834713266987294	GOF
ALOXE3	AR					
ALPK3	LOF	LOF	0.010783440153228222	0.018268684465962814	0.9709478753808091	LOF
ALPL	LOF	LOF	0.3169093962067026	0.4013409034771756	0.28174970031612173	DN
ALS2	LOF	LOF	0.27749646362613856	0.1860978301506027	0.5364057062232588	LOF
ALX1	LOF	LOF	0.13357923341315245	0.18586449128552182	0.6805562753013258	LOF
ALX3	AR					
ALX4	LOF	LOF	0.1090659327402701	0.317653002429075	0.5732810648306549	LOF
AMACR	LOF	LOF	0.25138003524469194	0.3093234444273165	0.4392965203279916	LOF
AMER1	LOF	LOF	0.3038360367342746	0.01910631287355725	0.6770576503921681	LOF
AMN	AR					
AMPD2	LOF	LOF	0.4272173468548893	0.3553044720778716	0.21747818106723896	GOF
AMT	AR					
ANAPC1	LOF	LOF	0.4592768198387725	0.21130135709636555	0.329421823064862	GOF
ANGPTL3	AR					
ANK2	HI	LOF	0.31780495227385364	0.37543696631357143	0.3067580814125749	DN
ANKH	LOF	LOF	0.7025568732571355	0.22509086035706222	0.07235226638580232	GOF
ANKRD17	LOF	LOF	0.3934029192185519	0.040836967172727105	0.565760113608721	LOF
ANO10	AR					
ANTXR1	LOF	LOF	0.3542042846240385	0.39487748648140525	0.25091822889455623	DN
ANTXR2	AR					
AP1B1	AR					
AP1G1	LOF	LOF	0.3922832742301105	0.4709863900663603	0.13673033570352933	DN
AP1S2	LOF	LOF	0.1057320632384769	0.0020031987009259743	0.8922647380605971	LOF
AP3B1	LOF	LOF	0.3142331548382421	0.31231349103302974	0.37345335412872815	LOF
AP3B2	LOF	LOF	0.18823338125311903	0.25848354226801334	0.5532830764788675	LOF
AP4B1	LOF	LOF	0.013215361574336197	0.007268525178267095	0.9795161132473967	LOF
AP4E1	LOF	LOF	0.03221581354172461	0.02991538194627679	0.9378688045119986	LOF
AP4M1	AR					
AP4S1	LOF	LOF	0.05111054602238034	0.023039514496444737	0.925849939481175	LOF
APC	HI	LOF	0.19021046074903056	0.3639242603058124	0.44586527894515715	LOF
APC2	LOF	LOF	0.014698567303713364	0.4964828427651826	0.48881858993110405	DN
APOA1	LOF	LOF	0.28676297733977696	0.6143713570727755	0.09886566558744761	DN
